Manx,English,Page,Notes
Q. Cre chon ta shin Credjal ayns y Spyrryd Noo ?,Q. Why do we believe in the Holy Ghost ?,55,
"A. Son dy nee’n Spyrryd Noo ta dyn Nianoo arloo son Niau. As shen-y-fa ta shin er nyn gasherick huggysyn ayns Bashtey liorish Sarey Chreest, as ta shin ynsit dy ghuee dy vod E ve marin son dy bragh.","A. Because it is the Holy Ghost who fits us for Heaven ; and therefore we are dedicated to Him in Baptism, by the Command of Christ, and are taught to pray, that He may ever be with us.",55,
Q. Cre’n aght ta’n Spyrryd dyn nianoo arloo son Niau ?,Q. How doth the Holy Ghost fit us for Heaven ?,55,
"A. Liorish Soiagh roin gaue peccah, feme as myghyn Fer kionnee, as cre’n aght oddys mad barriaght gheddyn harrish nyn Noidjin.","A. By convincing us of the danger of Sin ; Of the Necessity and Mercy of a Redeemer, and of the possibility of overcoming our Enemies.",55,
Q. Cre ny haghtyn ta’n Spyrryd dy ghoal dy chur tushtey dooin jeh firrinys ny reddyn shoh ?,Q. By what Means doth the Spirit convince us of the Truth of these Things ?,55,
"A. Liorish y phooar hug e da ny Phaderyn as ny Ostylyn dy hoilshagh aigney Yee, as dy yanoo ny loar ad firrinagh liorish mirillyn, dy voddagh deney ve shicker jeh dy nee Goo Yee va ny goan ocsyn. Myr shen ayns earish feer yare, va ayrn wooar jeh’n teihl er ny hyndaa gys [50] Creesteeaght, cha nee liorish Niart seihltagh agh liorish ynsagh yn Tushtal as liorish pooar y Spyrryd Noo.","A. By establishing the Prophets and Apostles to make known the Will of God, and to confirm by Miracles what they said, that Men may be assured, their Word was the Word of God. So that in a very short time, a great Part of the World was converted to Christianity, not by worldly Force, but by the Preaching of the Gospel, and by the Power of the Holy Ghost.",55,
[ 47 ] Liorish ny haghtyn shen Te kinjagh gobbragh er Creeaghyn leid as vees er nyn sauail.,"By which Means, he still worketh upon the Hearts of such as shall be saved.",56,
Q. Nagh vel eh dy liooar dy vel y Sushtal er ny ynsagh dooin ?,Q. It is not sufficient that we have the Gospel preached unto us ?,56,
"A. Cha vel, managh jean y Spyrryd Noo nyn dushtey y hoilshagh. Son cha nione da dooiney erbee ny reddyn ta bentyn rish Jee agh Spyrryd Yee. As sheny-fa gys y dooiney dooghyssagh ta’n Sushtal dy jarroo ommyjagh, cha moo oddys fys ve echey er ny reddyn t’er ny loart.","A. It is not ; unless the Holy Ghost enlighten our Understanding. For no Man knoweth the Things of God, but the Spirit of God. And therefore, to the natural Man, the Gospel is mere foolishness, neither can he know the things that are spoken.",56,
"As dy firrinagh raad ta fys ain er yn irrin as ta shin fakin nyn Gurrym cha nod mad y chooilleeney eh, derreh ta’n Spyrryd cheddyn casherickey nyn Greeaghyn, ta shen te gobbragh aynyn aignaghyn mie ; Aggle Yee, Graih gys e Leiaghyn as kairrail chreeoil jeh nyn Anmeenyn. Liorish shoh oddys shin ayns y tra barriaght y gheddyn er nyn Saynt, dy eyrt er shen ta mie as dy yanoo arloo son Bea elley.","And even, where we do know the Truth, and see our Duty, we are not able to perform it, until the same Spirit sanctifieth our Hearts, that is, worketh in us good Dispositions, The Fear of God, a Love to his Law, and hearty Concern for our Souls, by which, we are enabled, in time, to overcome our Lust, to follow that which is good, and to prepare for another Life.",56,
Q. Cre shegin dooin y yanoo dy vod y Spyrryd Noo myr shoh soilsheh y chur ayns nyn Aignaghyn as nyn Greeaghyn y casherickey ?,"Q. What must we do, that the Holy Ghost may thus enlighten our Minds, and sanctifie our Hearts ?",56,
"A. Ta Yeesey Creest er vagail dooin y choyrle as y Gialdyn shoh, Ver Jee yn Spyrryd Casherick dauesyn hirrys eh.",A. Jesus Christ hath left us this Direction and Promise ; God will give the Holy Spirit to them that ask him.,56,
"Hug E earlys y Spyrryd dhyt dy jarroo roish my voddagh oo hirrey eh ; As nish tra ta fys [51] ayd er dt’eme ; My nee oo gearee, nee oo geddyn, yow leid y grayse as vees fondagh dy dt’ynsagh, dy chooney liat, dy dty chummal seose as dy dty gherjagh, derrey hig oo gys y Reereeaght echyssyn ta dy bragh farraghtyn.","He gave you the earnest of his Spirit, even before you could ask it ; And now, when you know your Wants, if you ask, you shall receive ; you shall receive such Grace as shall be sufficient to direct, to assist, to support and to comfort you, until you come to his everlasting Kingdom.",56,
"[ 48 ] As eisht shegin dhyt gearree as guee son y Cheshaght ghraysoil echey ; Shegin dhyt oo hene y ghlenney veih dy chooilley vro-id dyn Eihl as dyn Spyrryd as dty Chorp y reall ny Hiamble glen da’n Spyrryd Noo dy vaghey ayn ; As shegin dhyt beaghey ayns bialys dauesyn ta’n Spyrryd Noo er hoi-agh harryd, dy dt’ynsagh as dy dty reil. As eisht foddee oo ve shicker dy leeid Jee oo sauchey gys Niau.","But then, you must desire and pray for his gracious Fellowship ; You must cleanse your self from all Filthiness of Flesh and Spirit, and preserve your Body a fit Temple for the Holy Ghost to dwell in ; and you must live in Obedience to those whom the Holy Ghost hath set over you, to teach and to govern you ; and then you may be confident he will conduct you safe to Heaven.",57,
Q. Vel Jee myr shoh myghynagh dauesyn ooilley ta bashtit ?,Q. Is God thus merciful to all that are baptised ?,57,
"A. Ta Jee booiagh ooilley ve sauchey as dy heet gys tushtey jeh’n Irrin. Agh ta ymmodee ta cherraghtyn son laccal Grayse, as fooast ta’n Coal oc kyndagh roo hene.","A. God would have all Men to be saved, and to come to the knowledge of the Truth. But there are very many who perish for want of Grace, and yet their Destruction is from themselves.",57,
"Leid shoh adsyn ta mee-rioosagh jeh sasyn y grayse, Cha vel oc, son nagh vel ad shirreh.","Such are they who neglect the Means of Grace ; they have not, because they ask not.",57,
"Leid shoh adsyn myrgeddyn nagh vel janoo ymmyd jeh ny Graysyn ta Jee er chur daue as eisht cordail rish e ghoo, te goal vou dy jarroo shen ny t’oc.","Such are they also, who will not use the Graces God hath given them, and then, according to his Word, He taketh away, even that which they have.",57,
"Ta ymmodee ayn ta cur corree er y Spyrryd casherick, as cur er e chooney graysoil y hayrn vou, son dy vel ad cur rish peccah er fys daue as tannaghtyn ayn.","There are many who grieve the Holy Spirit, and force him to withdraw his gracious Assistance, by their Consenting to known Iniquity, and continuing in it.",57,
"[52] As er jerreh ooilley ta ymmodee, ta gobbal y Spyrryd Casherick dy roonagh, gra immee er sooyl woin, son cha vel shin shirrey tushtey jeh dty raadjin.","And lastly, there are many who do despite to the Holy Spirit, saying, Depart from us, for we desire not the knowledge of thy ways.",57,
Q. Cre’n vondeish vees y Credjue shoh dooin ?,Q. Of what use will this Belief be to us ?,57,
"A. Freilee eh oo veih mee hreshteil ; foddee niart y dooghys ayd ve mooar, as gys tushtey human seihltagh niau-phossable y ve smaghtit, agh cha vel nee erbee roa ghoillee da Jee.","A. It will keep you from Despair ; your Corruptions may be great, and to Reason, impossible to be overcome ; but with God all things are possible.",57,
"Freilee eh oo veih danys, cha jeagh oo lurg cooney Yee as gyn oo hene y yanoo ny oddys oo.","It will keep you from Presumption, you will not expect God’s Assistance, without using your own Endeavours.",58,
"As er jerrey, freilee eh oo veih roih ayns shiaghranys, choud as eyrys oo er y Goo t’eshyn er livrey, er ny Sagyrtyn t’eshyn er chur er chaghteraght as vaghey ayns yn Aglish t’eshyn er chasherick.","Lastly ; It will keep you from running into Error, while you keep close to that Word which he hath inspired, to those Pastors which he hath sent, and continue in that Church which he hath sanctified.",58,
Q. Cre shegin dooin y chredjal my chion y slane Aglish Casherick ?,Q. What must we believe concerning the Holy Catholick Church ?,58,
"A. Ta shin credjal dy Doardee Yeesey Creest e Ostylyn, as adsyn ad haink nyn nei, dy phreacheil y sushtal, dy vashtey as dy ghoal padjer son ooilley ny va agyndagh dy chur bialys da ; as dy chur oghsyn, dy cherragh as dy yarey jeh leid as veagh scammyltagh gys nyn Gredjue Crauee.","A. We believe that Jesus Christ ordained the Apostles, and they their Successors, to preach the Gospel, to baptise, and to pray for all that were disposed to obey it ; and to reprove, correct, or cut off, such as should become a Scandal to their holy Profession.",58,
"Nish ta ny Kianoortyn as Saggyrtyn shoh marish y Pobble ta fo’n currym oc, enmyssit yn Aglish as Creest y Kione ek.","Now these Governours and Pastors, with the People under their Charge, are called the Church ; of which, Christ is the Head.",58,
"Ti-ee enmyssit Cashirick son ymmodee Oyryn agh er skyn ooilley son dy nee’n chiarrail [53] wooar ek eh, dy yanoo sleih Casherick, as ta sarey ec ooilley ny Holtyn ek dy [ve] myr shen.","It is called Holy upon many Accounts, but especially, because its great Design is to make Men Holy, and all its Members are required to be so.",58,
"Ti ee myrgeddyn enmyssit yn slane Aglish, ta shen dy ghra, Roshtyn er ooilley, son dy vel ee liorish Creest kiarrit dy ve saualtys dy chooilley Ashoon as Pobble ghoys as ver bialys gys Leiaghyn y Sushtal.","It is also called Catholick, that is, Universal, because it is by Christ designed for the Salvation of all Nations and People, that will receive and obey the Laws of the Gospel.",58,
"As she gys Kianoortyn as Saggyrtyn yn Aglish shoh ta Yeesey Creest er yanoo’n Gialdyn mooar shoh, Cur my ner, ta mish meriu kinjagh gys jerrey’n Teihl.","And it is to the Governours and Pastors of this Church, that Jesus Christ has made this remarkable Promise ; Lo, I am with you always, even unto the end of the World.",58,
Q. Cre’n aght ta Creest marish Saggyrtyn ny Haglish ?,Q. How is Christ with the Pastors of his Church ?,59,
A. Ta’n Spyrryd Casherick echey maroo dy vannagh adsyn t’ad dy vannagh ayns ennym Chreest as dy cherragh adsyn t’ad dy vriwnys dy cairagh.,"A. His Holy Spirit is with them to bless those whom they bless in his Name, and to chastise those whom they justly censure.",59,
Q. Cre’n ymmyd t’ayns Briwnysyn ny Haglish ?,Q. What is the end of Church Censures ?,59,
"A. Dy hayrn peccee gys Arrys as dy reall yn Aglish glen as gyn loght, my oddys eh ve, yn chooid sloo, dy liettal Briwnyssyn Yee veih tuitchym er y Cheshaght ooilley, roish shen cha lias dooin aggle ghoal, choud as ta Drough yeantee eit gys coontey, er nyn dayrn gys tushtey jeh nyn Beccaghyn, ny tilgit magh, my nee ad tannaghtyn mee-viallagh.","A. To bring Sinners to Repentance, and to preserve the Church pure and undefiled, if that may be, at least, to hinder the Judgments of God from falling upon the whole Body, which we shall not have Reason to fear, while notorious Offenders are called to an account, brought to a sense of their Wickedness, or cast out, if they continue obstinate.",59,
"Q. Nagh vod fer treshteil son leih y pheccaghyn veih Jee, fegooish ve er ny chur gys nayrey ?","Q. May not one hope for Pardon from God, without being exposed to shame ?",59,
"A. Quoi erbee ta streeu dy hea veih cherragh ny Haglish, cha vel e fakin cre’n gaue ta liorish shen y yanoo, cha vel e [54] toiggal dy vel e ny skiarrailee jeh Onnor hene ny te jeh Onnor Yee ; Dy vel e soiagh beg jeh Oardagh slaintoil ny Haglish dy chur tushtey da Peccee, ad dy yiarey e hene magh veih padjer y chloan chrau-ee as veih’n Feasley peccaghyn ta Shirveishee Yee dy hoilshagh, as dy vod e dy cairagh jerkal dy glin e veih Jee ayns aght strimshee.","A. Whoever strives to avoid the Church’s Censures, doth not see the Danger of doing so ; he doth not consider, that he consults his own, more than Gods Honour : That he despiseth the wholesome Order of the Church for the Conviction of Sinners, and depriveth himself of the Prayers of the Faithful, and the Ministry of Absolution ; and that he may justly expect to hear from God in a way more afflicting.",59,
Q. Cre eisht ta’n currym echyssyn ta tuitchim fo Briwnys ny Haglish ?,Q. What then is the Duty of a Person who makes himself liable to the Censures of the Church ?,59,
A. Yn currym echey dy injilagh e hene [gys] y Chianoortyn spyrrydoil,"A. His Duty is humbly to submit to his Spiritual Governours, as unto",59,
"[ 51 ] myr gys Creest, gyn jeaghyn er y vriwnys oc myr kerragh, agh myr myghyn, dy ve eit gys coontey ayns y Teihl shoh dy vod e gyn ve deyrit ayns y Teihl ta ry heet.","Christ ; not looking upon their Censures as a Punishment, but as a Mercy, to be call’d to an account in this World, that he may not be condemned in the next.",60,
"Dy chur gloyr gys Jee ayns goal rish e pheccaghyn dy arryltagh, goal rish dy vod Jee Peccee y cherragh cre erbee’n aght scapys ad Briwnys deney.","To give Glory to God, in a free Confession of his Sins, acknowledging that God is able to punish Sinners, however they may escape the Censures of Men.",60,
"Te dy yanoo shoh lesh trimshey ferrinagh son e oilchin, dy shicker kiarrail Bea noa y leeideil, chammah son dy vel Jee ta ronsagh Creeaghyn cur feah da Crau-eeaght-oalsey, as son dy vod feollagh elley yn trimshey echey y akin as gynsagh dy vel eh red olk as sharroo yn Chiarn y hreggeil.","He is to do this with a true Sorrow for his Offences, stedfastly purposing to lead a New Life ; both because God the Searcher of Hearts hateth Hypocrisie, and that others, seeing his Affliction, may learn, That it is indeed an evil thing, and Bitter to forsake the Lord.",60,
"Er jerrey ooilley yn currym echey eh, dy yearee Pardoon as Padjeryn e Heshaghyn Creestee, as Saggyrt Yee dy chur da Feasley veih e pheccaghyn, Lurg shoh foddee e gerjagh y ghoal veih’n Gialdyn shen ren Creest [55] gys e Aglish ; Da quoi erbee ta shivish leih peccaghyn, t’ad leiht daue as da quoi erbee nagh vel shiu cur feasley, cha vel ad feaslit.","Lastly, his Duty is, to desire the Pardon and Prayers of his Fellow Christians, and the Absolution of God’s Minister, and then to comfort himself with the Promise of Christ to his Church, Whose soever sins ye remit, they are remitted unto them ; and whose soever sins ye retain, they are retained.",60,
Q. Cre ta toiggit liorish sheshaght ny Nooghyn ?,Q. What is meant by The Communion of Saints ?,60,
"A. Dy chooilley Chreestee firrinagh, ta enmyssit Nooghyn, ta shen dy ghra, Pobble ta Casherick gys shirveish Yee, dy vel ad yn Chorp ; Oc ta yn Chione, yn Credjue, yn Hreshteil, yn Vashtey. As shen-y-fa ta cairys ec dy choilley Creestee firrinagh ayns Padjeryn as Giastylys yn Aglish slane, as gys dagh vondeish ta bentyn ree. Ta shen dy ghra, Ta cairys ec dagh Creestee gys Leigh Peccaghyn, gys Graih Yee, gys Toilchinys Chreest, gys sheshaght y Spyrryd noo as gys shirveish ny Ainlyn cashrick.","A. That all true Christians, called Saints, that is, People Dedicated to God, are One Body, having One head, One Faith, One Hope, One Baptism. And, therefore, every true Christian hath an Interest in the Prayers and Charities of the whole Church, and a right to all its Privileges. That is, every Christian hath a right to the Forgiveness of Sins, the Love of God, the Merits of Christ, the Fellowship of the Holy Ghost, and the Ministry of the Holy Angels.",60,
"Veih shoh t’ow dy chur tastey cre’n stayd trimshagh eh, dy ve ass y Cheshaght shoh, ny dy ve jeh’n earoo ocsyn nagh vel enmyssit Nooghyn, ta shen dy ghra, nagh vel leeideil nyn Mea cordail rish y Sushtal, ta’d shoh ooilley fegooish Treshteil as fegooish Gialdynyn.","From which you ought to learn, what a very sad condition it is to be out of this Communion, or to be of the number of them who are not called Saints, that is, who do not live as becomes the Gospel, all such being without Hopes, and without Promises.",61,
Q. Cre’n aght ta Cairys ec dagh Creestee gys Leih peccaghyn ?,Q. How hath every Christian a right to the Forgiveness of Sins ?,61,
"A. Ny lomarcan liorish toilchinys as Gialdyn Chreest t’er yanoo nyn Shee rish Jee, er conaant dy vel shin lesh Arrys cree-oil as credjue firrinagh chyndaa huggey.","A. Only by the Merits and Promise of Christ, who hath made our Peace with God, upon condition, that with hearty Repentance and true Faith we turn unto him.",61,
Q. Eisht cha vel Gialdyn Leih Peccaghyn resoon da sleih dy hannaghtyn ayns peccah ayns treshteil pardoon y gheddyn ?,"Q. Then the Promise of Forgivness is no reason why People should continue in Sin, in hopes of Pardon ?",61,
"[56] A. Cha vel ny smoo ny ta resoon ec Mac dy ve niau-viallagh son dy vel e Ayr cha dooie da. Liasagh Miys Yee sleih y leeideil gys Arrys, as mannagh jean eh shen, livrey-ee yn chairys echey ad gys coalanmey.","A. No more reason, than that a Son should be more undutiful, because his Father is more kind. The Goodness of God ought to lead Men to Repentance ; and if it doth not do that, his Justice will send them to Destruction.",61,
"Shen-y-fa cooinee er, my hed oo er dy hoshiaght ayns peccah lesh dt’aigney, t’ow roih ayns y Gaue smoo erbee ; cha vel fys ayd vou dy bragh tra ny grayse dy ghoal Arrys, n’ egooish shen cha bee Leih peccaghyn dy chouyr.","Therefore remember, that if you sin wilfully, you run the greatest Hazzard ; you know not whether ever you shall have Time or Grace to repent, without which there is no Forgiveness of Sins.",61,
"Q. Cre’n oyr ta part dy leih, ta goal rish dy vel ad credjal Leih peccaghyn, foast janoo mee-hreshteil dy vou ad pardoon ?","Q. What is the reason why some People, who profess to believe the Forgiveness of Sins, do yet despair of Pardon ?",61,
"A. Choud as ta fer erbee leeideil Bea vee-chiarralagh lishagh e ve myr shoh seaghnit, as dy hirrey leid y phersoon y gherjagh ny hayrn as y smooinaght shen yn aght dy chur mou e son dy bragh.","A. While any Person leads a careless Life, he ought to be thus afflicted, and to endeavour to comfort or divert such a Person, is to undo him.",61,
"Agh my ta dooinney er leeideil Bea sheelt, ny fooast bea vee-reiltagh as Arrys firrinagh y ghoal, cha vel oyr echey dy ve mee-hreshteilagh jeh Myghyn, as she son laccal coyrle vie te janoo shen. As currym leid y persoon eh, dy ghol gys Saggyrt ennagh tushtagh as ynsit ayns Goo Yee ver shickerys da dy vel Jee myghynagh, booiagh ooilley dy ve sauchey, dy vel e firrinagh gys y yialdynyn, as ta cur er nyn eer seaghyn dy ve vondeishagh daue.","But if a Man hath been a sober Liver, or having been otherways, doth truly Repent, he hath no reason to despair of Mercy ; and it is for want of right Information if he doth so. And it is the Duty of such a Person to go to some discreet and learned Minister of Gods Word, who will satisfie him, that God is merciful ; would have all Men to be saved ; is faithful to his Promises, and maketh even our Afflictions useful to us.",62,
"Dy jean eshyn ta gynsagh dooin Padjer gagh laa y ghoal, nyn nrogh yanoo y leih dooin, my ta shin streeue gagh laa noi niau[57]ghlennid y dooghys ain. As son nagh bee resoon ec sleih dy veehreshteil, ta Jee er chur Pooar da e Hagyrtyn d’easley ’n Peccagh arryssagh veih y pheccaghyn as lowee eshyn ayns niau ny nee adsyn er y Talloo.","That he who hath taught us to pray daily for Pardon, will forgive us our Trespasses, if we strive daily to mortifie our Corruptions. And that Men may have no reason to despair, God hath given Power to his Ministers to absolve the Penitent, and what they do, will be approv’d in Heaven.",62,
Q. Bee dy jarroo Irree reeisht ny merriu ayn ?,Q. Will there certainly be a Resurrection of the Body ?,62,
"A. Cha firrinagh as ta shin nish bio, nee shin girree reeisht, ta Jee dy foslit er ghra eh as ta pooar echey dy yanoo eh.","A. As sure as now we live, we shall Rise again ; God hath expressly said it, and he is able to do it.",62,
Q. Cre ta’n currym echyssyn ta credjal shoh ?,Q. What is the Duty of one who believes this ?,62,
"A. Dy real dy Chorp fo Smaghtaghey, Sheeltys as Glennid, dy vod eh ve Chiamble cooie da’n Spyrryd noo dy vaghey ayn : Dy jean eshyn hrog Creest veih ny merriu yn Corp marvanagh ayds y vioghey, liorish y Spyrryd ta vaghey aynyd. As eisht bee’n Vea dy bragh farraghtyn Bannaght dy jarroo.","A. To keep his Body in Temperance, Soberness, and Chastity, that it may be a fit Temple for the Holy Ghost to dwell in : That he who raised Christ from the Dead, may quicken our mortal Body, by the Spirit that dwelleth in us ; and then everlasting Life will be a Blessing indeed.",62,
Q. Cre ta toiggit liorish y vea dy bragh farraghtyn ?,Q. What is meant by Life everlasting ?,63,
"A. Dy bee nyn Gallinyn as nyn Anmeenyn ec yn Irree seose snemmit cuidjaght, bee shin eisht bio son dy bragh, edyr ayns maynrys ny trimshey fegooish jerrey, son myr shen ta Jee er chur shickerys dooin.","A. That, at the Resurrection, our Bodies and Souls being joiyn’d again, we shall then live for ever, either in endless Happiness, or endless Misery. For so God hath assured us.",63,
Q. Ta shoh red lishagh shin y ghoal feer faggys dooin hene dy jarroo.,"Q. This is a Matter of great concern, indeed.",63,
"A. Agh dy chur ort ve feer chiarralagh, smooinee dy dowin er, dy bee oo ec oor y Vaish ayns stayd nagh jed dy bragh er caghlaa. My tow er leeideil Bea Chreestee, bee oo eisht dy bragh bannit ; agh my t’ow er leeideil Bea mee-rioosagh as baas y [58] gheddyn fegooish Arrys, bee oo treih er son dy bragh as dy bragh. As myr shoh vees oo cheu stih jeh beggan beg dy vleantyn edyr oo dy ghoal eh gys dt’ aigney, ny gyn y ghoal.","A. But to make you serious, consider, that, at the Hour of your Death, your Condition will be unchangeable ; If you have liv’d a Christian Life, you will then be happy for ever ; but if you shall have liv’d carelesly, and dye without a timely Repentance, you will be miserable to all Eternity. And thus it will be with you, within a very few Years, and whether you think of it or not.",63,
"Q. Shicker cha nod fer gyn smooinaght er, as chicker1 ta dy chooilley annane ta janoo shen treshteil dy ve sauchey.","Q. One cannot sure but think of it, and every one that doth so, to be sure hopes to be saved.",63,
"A. Streih’n stayd shen. Sleih dy hreshteil dy ghol gys Niau, as fooast gyn kiarrail y ghoal dy yanoo ad hene arloo er y hon. Agh cooinee er tra ta dooiney meerioosagh ny meechrawee gra harrish yn Ayrn shoh jeh y Chrea, te ayns firrinys goal rish dy vel e jercal rish dy ve er ny stroie Annym as Callin.","A. That is a sad Misfortune. Men hope to go to Heaven, and yet take no care to fit themselves for it. But remember, that when a careless, or an ungodly Man repeats this part of his Creed, he doth in truth profess that he expects to be Damn’d.",63,
Q. Cre ta Goo Yee ginsh vees stayd y leid oc shoh ?,"Q. Pray, what do the Scriptures say will be the Condition of such ?",63,
"[ 55 ] A. Dy bee ad tilgit shees ayns Aile Ivrin fegooish treshteil dy akin dy bragh jerrey er nyn drimshey, gyn dooney1-mooinjer dy chooney lieu, gyn annane erbee dyn ngerjagh ad.","A. That they shall be cast into Hell-Fire, without Hopes of ever seeing an End of their Miseries ; without Friend to help them, without any to comfort them.",64,
Q. As cre vees y stayd ocsyn ta gol gys Niau ?,Q. And what will be the Condition of those that go to Heaven ?,64,
"A. Cha bee ny smoo dy hrimshey oc, cha bee miolaghyn, cha bee gaue tuitchim ayns peccah, cha bee jerreh er nyn maynrys. Agh cre vees y vaynrys shen, cha vod cree dooiney smooinaght er.","A. They will have no more Sorrow, no Temptations, no Danger of falling, no End of their Happiness. But what that Happiness will be, the Heart of Man cannot conceive.",64,
"Choud as t’ow bio ta Bea as Baas ayd soit kian-goyrt rhyt, agh tra t’ow marroo, cha vou’n reih shen ny smoo, agh Bea dy bragh farraghtyn, ny Baas dy bragh farraghtyn vees dty Chronney. Yinnagh oo dy mie smooinaght er shoh as padjer y yanoo gys Jee dy chur creenaght dhyt dy yanoo reih mie.","While you live, you have Life and Death set before you ; but when you dye, you have no longer that Choice, but Life Eternal, or Eternal Death will be your Portion ; which you would do well to think of, and to pray to God that you may make a wise Choice.",64,
" Yn PHADJER."," The PRAYER.",65,
"O Yee son chooish as dt’ egooish- ys, nagh vod shin oo yanoo booiagh, giall dy vod dty Spyrryd Casherick ayns dy chooilley nee ny Creeaghyn ain y leideil as y reill. Jean shin Oltyn bio jeh dt’ Aglish, as cur ayrn dooin jeh ooilley ny vondeishyn bannit ek, as cur grayse dooin nagh gall mad ad liorish mee-vialys erbee aignagh gys dty Leihaghyn, ny hucsyn t’ow er soiagh er nyn skyn. Dy gooid-save liat ooilley nyn Beccaghyn y leih dooin my vow mad baase, dy vod mad trooid yn Oi as giat y vaish cheet gys Irree reesht gerjolagh ; As ec y jerrey dy vod mad cheet gys dty Reereeaghts vees dy bragh er-mayrn, Trooid Yeesey Creest nyn Jiarne.","O God, forasmuch as without thee we are not able to please thee, grant that thy Holy Spirit may in all things direct and rule our Hearts. Make us lively Members of thy Church, and Partakers of all its blessed Privileges, and give us Grace that we may never forfeit them by any wilful Disobedience to thy Laws, or to those whom thou hast set over us. Vouchsafe us Forgiveness of all our Sins before we dye, that through the Grave and Gate of Death, we may pass to a joyful Resurrection ; And that finally we may come to thine everlasting Kingdom, through Jesus Christ our Lord. Amen.",65,
Q. CRE smoo [t’ow] gynsagh ayns ny Banglanyn shoh jeh dty Chredjue ?,Q. WHat dost thou chiefly learn in these Articles of thy Belief ?,65,
"A. Hoshiagt. Ta mee gynsagh dy Chredjal ayns Jee yn Ayr, chroo mish as oilley’n seihl.","A. First. I learn to believe in God the Father, who hath made me and all the World.",65,
Y nah ynnyd. Ayns Jee’n Mac ren mish as Sheelnaue ooilley y chionagh reesht.,"Secondly. In God the Son, who hath redeemed me, and all Mankind.",65,
[60] Yn tras ynnyd. Ayns Jee yn Spyrryd Noo ta casherickey mish as ooilley Pobble reiht Yee.,"Thirdly. In God the Holy Ghost, who sanctifieth me, and all the elect People of God.",65,
Q. Cre ta shin gynsagh veih’n Ansoor shoh ?,Q. What do we learn from this Answer ?,65,
"[ 57 ] A. Dy vel yn Jee ayn : nagh daag reau e hene fegooish fenish, agh hoilshee e e phooar as e chreenaght as e Viys gys dy chooilley eash. Agh dooinyn te cur tushtey jeh hene ayns Persoonyn yn Ayr, y Mac as y Spyrryd noo, ren y chroo, y chionnagh as y chasherick shin. Liorish shoh ta shin cheet gys toiggal share jeh’n aght hie shin er kionnagh reesht.","A. That there is One God : who never left himself without Witness, but gave evidence of his Power, and Wisdom, and Goodness to all Ages. But unto Us he hath made himself known in the Persons of the Father, Son, and Holy Ghost ; as our Creator, Redeemer, and Sanctifier : By which we come more perfectly to know the manner of our Redemption.",66,
"Dy row chummey ec Jee’n Ayr er e chreturyn peccoil, oc va feme feer wooar er e vyghyn as hug e e vac ynrycan dy chionnagh shin reesht.","That God the Father had Compassion for his sinful Creatures, which greatly stood in need of his Mercy, and sent his only Son to redeem us.",66,
"Dy ren Jee’n Mac y dooghys ain y ghoal er hoilshee e dooin aigney Ayrey ; Hug e samble dooin cre’n aght leeidagh mad nyn Mea dy yanoo Jee booiagh. Heb e e hene ny Oural er nyn Son ; liorish yn Oural cheddyn ta kionnagh reesht ain trooid e ooill hene, dy jarroo leih nyn Beccaghyn. Dy chur shickerys dooin jeh shoh. Jirree e reesht veih ny Merriu as hug e yn Spyrryd noo er chaghteragh dy yanoo shin arloo son y vaynrys shen ve er chosney er nyn son.","That God the Son took our Nature upon him ; made known his Fathers Will ; set us an Example how we ought to walk and to please God ; became a Sacrifice for us ; by which Sacrifice we have Redemption through his Blood, even the Forgiveness of our Sins ; for Confirmation of which, he rose again from the Dead, and sent the Holy Ghost to prepare us for that Happiness which he had purchased for us.",66,
"Dy vel Jee’n Spyrryd noo goal kiarrail jeusyn ooilley ta credjal ayns Yeesey Creest as dy chasherickey ad, ta shen dy ghra, te fosley’n toiggal oc, as ny veggan as ny veggan caghlaa ny [61] haignaghyn oc, myr shen dy vel oc Smooinaghtyn noa, Treshteil noa, Yeareeyn noa, as ec y jerrey ta’d cheet dy ve Creturyn noa, ny leid nee Jee y ghoal stiagh ayns e Reereeaght Flaunyssagh.","That God the Holy Ghost taketh under his Care all such as believe in Jesus Christ, and sanctifieth them ; that is, he enlightens their Understandings, and by degrees changes their Affections, so that they come to have new Thoughts, new Hopes, new Desires, till at last they become new Creatures, and such as God, in Mercy, will receive into his heavenly Kingdom.",66,
"Nish fegooish Credjue, ta shen, fegooish y Sushtal y chredjal ta ny Banglanyn firrinagh shoh scruit ayn, cha vod mad Jee hirveish ny treshteil son leih peccaghyn as Saualtys veihsyn.","Now, without Faith, that is, without believing the Gospel, which containeth these Truths, we cannot serve God, nor hope for Pardon and Salvation from him.",66,
Agh my ta shin credjal y Sushtal ta’n Credjue shoh sayse pooaral dy yanoo shin mie my oddys ny Gialdynyn smoo ny ny Baggyrtyn Sagglee greme y ghoal orrin.,"But if we believe the Gospel, this Faith becometh a powerful Means to make us Good, if either the greatest Promises, or the most dreadful Threatnings can work upon us.",67,
Q. Cre ny gialdynyn ta ’shin1 cheet er ?,Q. What are the Promises you mean ?,67,
"A. Pardoon slane as arryltagh son ooilley nyn Beccaghyn, my ta shin lesh arrys cree-oil as credjue firrinagh chyndaa gys Jee.","A. A full and free Pardon of all our Sins, if with hearty Repentance and true Faith we turn unto God.",67,
