English,Manx
"To prevent this, and to hinder Sinners from forgetting [which they are but too apt to do] this Token of God’s infinite Love, and to fix the Love of Jesus Christ more surely in our Hearts and Memory, He himself hath taken care, that his Love and Mercy should, throughout all Generations, be remembered: He did therefore ordain this Sacrament as a Memorial of our Redemption, and of his Love for us;—as a Pledge to assure us of it, and as an outward Means and Sign of testifying, as well as increasing, our Love to him.","Dy haghney shoh, as dy lhiettal Peccee (myr t’ad ro aarloo) dy yarrood yn Cowrey shoh jeh Graih erskyn-towse Yee, as dy hoiaghey Graih Yeesey Creest ny shickyree ayns nyn Gree as nyn Gooinaghtyn; T’eh hene er ghoaill Kiarail, dy beagh Cooinaghtyn er ny reayll jeh e Ghraih as e Vyghin, trooid magh dy chooilley Heeloghe: Ren eh er-y-fa shen goardrail y Sacrament shoh myr Imraa jeh nyn Livrey-ys, as jeh e Ghraih dooinyn;—myr Gioal dy hickyraghey shin jeh, as myr Saase as Cowrey baghtal dy hoilshaghey, chammah as dy vishaghey, nyn Ghraih huggey."
"The holy Apostles of Christ, who were present when he first administered this Sacrament, give us the [16] following Account of its End and Institution.","Ta Ostyllyn Casherick Chreest, va kionfenish tra ren eh hoshiaght yn Sacrament casherick shoh y hirveish, cur [16] dooin y Coontey shoh jeh’n Oyr as yn Oardaghey."
"They signify to us in the first Place, that this Sacrament was ordained by Christ the same Night in which he was betrayed, and after they had observed the Passover, which had been ordained to preserve the Memory of their great Deliverance from the Bondage of Egypt, and which did prefigure, and was a Prophecy of, a much greater Deliverance, which Jesus Christ was to be the Author of, not only for them, but for all Mankind:—And which Prophecy was surprizingly fulfilled by that People, without knowing what they were a-doing, when they crucified Jesus Christ, the true Paschal Lamb, the very same Month, the very same Day of the Month, and the very same Hour of the Day, that the Paschal Lamb was first ordained to be sacrificed.","T’ad soilshaghey dooin ayns y chied Ynnyd, dy row yn Sacrament shoh oardit liorish Creest yn Oie cheddin ayn v’eh er ny vrah, as lurg daue v’er n’ee yn Eayn Caisht, va sarit dy reayll seose Cooinaghtyn jeh nyn Livrey-ys mooar veih Bondiaght Egypt, as ren cowraghey ro-laue, as va ny Adeyrys jeh, Livrey-ys foddey smoo, va Yeesey Creest dy chosney, cha nee ynrycan dauesyn, agh da ooilley Sheelnaue:—As va’n Phadeyrys shen ayns Aght yindyssagh cooilleenit liorish yn Pobble cheddin, gyn Toiggal oc cre v’ad dy yannoo, tra ren ad Yeesey Creest y chrossey, yn Eayn Caisht firrinagh, ayns yn eer Vee cheddin, er yn eer Laa cheddin jeh’n Vee, as ayns yn eer Oor cheddin jeh’n Laa, va’n Eayn Caisht hoshiaght oardit dy v’er ny ouralley."
,
"Now after the Paschal Supper, as the Apostles relate it,—Jesus Christ took Bread, and blessed it, and brake it, and gave it to his Disciples, saying, Take, eat: This is my Body, which is given for you: This do in Remembrance of Me. He took also the Cup, and gave Thanks, and gave it to them, saying, Drink ye all [17] of this, for This is my Blood of the New Covenant, which is shed for you, and for many, for the Remission of Sins: This do, as oft as ye shall drink it, in Remembrance of Me; for as oft as ye shall eat this Bread, and drink this Cup, ye do shew the Lord’s Death till he come.","Nish lurg Shibber yn Eayn Caisht, myr ta ny Ostyllyn cur Coontey jeh,—Ghow Yeesey Arran, as vannee eh eh, as vrish eh eh, as hug eh eh da e Ostyllyn, gra, Gow-jee, ee-jee, Shoh my Chorp’s, t’er ny choyrt er nyn son eu: Jean-jee shoh ayns Cooinaghtyn jeem’s.—Ghow eh myrgeddin y Cappan, as hug eh Booise, as chur eh daue eh, gra, [17] Iu-jee ooilley jeh shoh, son she Shoh my Uill’s jeh’n Chonaant Noa, t’er ny gheayrtey er nyn son euish, as er son ymmodee, son Leih Peccaghyn: Shoh jean-jee, cha mennick as iu-ys shiu eh, ayns Cooinaghtyn Jeem’s; son cha mennick as eeys shiu yn Arran shoh, as iuys shiu yn Cappan shoh, ta shiu soilshaghey magh Baase y Chiarn derrey hig eh."
"In Obedience therefore to this Command of Jesus Christ, who has delivered us from a much greater Bondage than that of Egypt—The Christian Church keeps up the Memory of his Love, his Sacrifice, and his Sufferings and Death, after this solemn Manner: ","Shen-y-fa ayns Biallys da’n Sarey shoh jeh Yeesey Creest, t’er livrey shinyn veih Bondiaght foddey smoo na Bondiaght Egypt.—Ta’n Agglish Chreestee cummal seose Cooinaghtyn jeh e Ghraih, jeh e Oural, as jeh e Hurranse as e Vaase, er yn Aght arrymagh shoh:"
"First, as an Acknowledgement that our Lives, and all that we eat or drink to preserve them, are owing to the Bounty of God, we present upon his Table, by the Hands of his own Minister, a Portion of his Creatures, the best we have for the Support and Comfort of our natural Life, namely, Bread and Wine.—After this the Bread and Wine are consecrated, the Bread is broken, and the Wine poured out, to represent the Death of Christ whose Body was broken, and whose Blood was shed for us. [18]","Hoshiaght, myr Cowrey dy vel nyn Mioys, as ooilley ny ta shin dy ee as dy iu dy reayll shin bio, cheet veih Feoiltys Yee, ta shin soiaghey magh er y Voayrd echey, lesh Laueyn e Hirveishagh hene, Ayrn jeh e Chretooryn, yn chooid share t’ain dy niartaghey as dy gherjaghey nyn Mioys dooghyssagh, ta shen dy ghra, Arran as Feeyn.—Ny lurg shoh ta’n Arran as y Feeyn er nyn gasherickey, ta’n Arran er ny vrishey, as ta’n Feeyn er ny gheayrtey magh, dy chowraghey Baase Chreest, e Chorp v’er ny vrishey, as e Uill v’er ny gheayrtey er nyn son. [18]"
"Then the Minister of GOD, as the Steward of Christ’s Houshold, applies these Blessings to every Person who receives this Sacrament, in this devout Prayer:—The Body and Blood of Christ, which were given and shed for Thee, preserve thy Body and Soul unto everlasting Life.","Eisht ta Shirveishagh Yee, myr Stiurt harrish Lught-thie Chreest shirveish ny Bannaghtyn shoh er dy chooilley Phersoon ta goaill y Sacrament cheddin, ayns y Phadjer chrauee shoh:—Corp as Fuill nyn Jiarn Creest hie er coyrt as er deayrtey er dty hon’s, dy vreill ad dty Chorp as dty Annym gys y Vea dy bragh farraghtyn."
,
"And we may be assured of it, that this Sacrament will be to every worthy Communicant, what the Tree of Life would have been unto Adam and Eve in Paradise: And that as they, had they continued obedient, would have been in no Danger of temporal Death; even so we, while we feed on this Bread now endued with a Life-giving Spirit, and live as we ought to do, are in no Danger of Death eternal.","As foddee mayd ve shickyr jeh, dy bee yn Sacrament shoh da dy chooilley unnane ta goaill eh dy feeu, jeh’n Foays cheddin veagh Billey yn Vea er phrowal da Adam as Aue ayns Pargeiys: As myr nagh beagh adsyn, dy beagh ad er hannaghtyn biallagh, er ve ayns Gaue erbee Baaish ‘sy Theihll shoh; eer myr shen, choud as ta shinyn beaghey er yn Arran shoh nish coamrit lesh Spyrryd bioghee, as gymmyrkey nyn Mea myr lhisagh shin, cha vel shin ayns Gaue erbee jeh’n Baase dy bragh farraghtyn:"
,
"These being Pledges to assure us, that as certainly as Bread and Wine do nourish our Bodies, so do these seal to us all the Benefits which Jesus Christ hath purchased for us, by his Sacrifice and Death.","Son t’ad shoh Gialteenyn dy chur Shickyrys dooin, cha firrinagh as ta Arran as Feeyn beaghey nyn Gallinyn, cha firrinagh cheddin dy vel ad shoh sealal dooin ooilley ny Bannaghtyn ta Yeesey Creest er chosney dooin, liorish e Oural as e Vaase."
,
"And when any Christian does wilfully, and for want of Faith, deprive himself of [19] this this Spiritual Food, he falls, as our first Parents did, into a State purely natural, and destitute of the Means of Grace and Salvation.","As tra ta Creestee erbee jeh e Yioin, as son laccal Credjue, giarey magh eh hene veih’n [19] Beaghey Spyrrydoil shoh, t’eh tuittym, myr ren nyn gied Ayr as Moir, ayns Stayd eer dooghyssagh, as fegooish ny Saaseyn dy Ghrayse as dy Haualtys."
,
,
"For the Happiness of the World, and of every Soul in it, depends upon the Sacrifice of Christ, of which we are bound to keep up the Remembrance after this solemn Manner:","Son ta Maynrys y Theihll, as dy chooilley Annym t’ayn, lhie er Oural Chreest, jeh ta shin kianlt dy reayll seose Cooinaghtyn er yn Aght casherick shoh."
"That whenever we pray for any Favour or Blessing we may remember to do it in his Name:—That whenever we are so unhappy as to have done any Thing which may displease God, we may remember to pray to be forgiven for Christ’s sake.","Cre-erbee yn Traa ta shin guee son Foayr ny Bannaght erbee, dy vod mayd cooinaghtyn dy yannoo eh ‘syn Ennym echeysyn:—Cre-erbee yn Traa ta shin cha mee-vaynrey as dy ve er n’yannoo Red erbee oddys Jymmoose y chur er Jee, dy vod mayd cooinaghtyn dy ghuee son Leih er y hon er Graih Chreest."
"For God grants whatever we ask, and which he sees to be for our Good, when we ask in Faith, that is, in his Son’s Name; and therefore the Church concludes all her Prayers in these most prevailing Words,—For Jesus Christ’s Sake.","Son ta Jee coyrt cre-erbee ta shin geearree, as shen t’eh fakin dy ve son nyn Voays, tra ta shin geearree ayns Credjue, ta shen, ayns Ennym e Vac; as shen-y-fa ta’n Agglish cur Jerrey er ooilley ny Padjeryn eck ayns ny Goan smoo breeoil shoh,—Er Graih Yeesey Chreest."
"In one Word, we do by this Sacrament keep up a continual Correspondence with our Lord in Heaven, and hold Communion with him, and with all the Members of his Body, which receive [20] Nourishment and Growth from Him, as the Branches from the Tree, in which they are grafted, and from which when they are separated, they can bear no Fruit, and are only fit to be burned.","Ayns un Ockle, liorish y Sacrament shoh ta shin freayll seose Ainjys chinjagh rish nyn Jiarn t’ayns Niau, as cummal Sheshaght Spyrrydoil rishyn as rish ooilley Oltyn[1] e Chorp, ta geddyn Ooraghey as [20] Bishaghey veihsyn, myr ta ny Banglaneyn veih’n Villey, er t’ad gaase, as tra t’ad scarrit voish, cha vod ad veg y Vess y ymmyrkey, chamoo t’ad son Ymmyd erbee agh son yn Aile."
,
"And as every Christian is obliged, at the Peril of his Soul, to observe it: So the Duty must be such, as every one, even the most unlearned, may understand, if it is not his own Fault.","As myr ta dy chooilley Chreestee, er Gaue Anmey, kianlt dy ghoaill yn Chreestiaght shoh: Myr shen shegin da’n Currym ve lheid, as oddys dy chooilley unnane toiggal, eer eshyn smoo ta gyn Ynsghey lioaragh, mannagh bee eh yn Oill echey hene."
"And so indeed it is: For as an Israelite, Levit. i. 4. under the Law, being obliged to lay his Hand upon the Head of his Sacrifice, confessing his Sins in laying them as it were, upon that Creature,—as he did easily understand, that this was to shew him, that Death was the due Reward of Sin; that this ought to humble him before God, and to give him the greatest Abhorrence of Sin, which could not be pardoned but by the Loss of the Life of an innocent Creature:","As myr shen dy jarroo te: Son myr va Israelite Lev. i. 4. fo yn Leigh, kianlt dy lhie e Laue er Kione yn Oural, goaill rish e Pheccaghyn as coyrt ad, myr dy beagh eh, er y Chretoor shen, myr v’eh dy aashagh toiggal, dy row shoh dy hoilshaghey da, dy nee Baase va Leagh cairal Peccah; dy lhisagh shoh y injillaghey eh fenish Jee, as coyrt da yn Dwoaie smoo oddagh y ve noi Peccah, nagh voddagh ve er ny leih, agh liorish Coayl Bioys Cretoor gyn-loght:"
"As this was plain to the meanest Israelite, even so the most unlearned Christian, when he considers, that our Lord Jesus Christ became a Sacrifice for us, and that on Him all our Sins were laid,[21]—on him who knew no Sin;—he will easily understand how sad our Condition was, which required such a Sacrifice:—That this therefore ought to humble us,—To lead us to Repentance,—To make us fearful of offending God,—And to abhor those Sins which cost Jesus Christ his Life, before God could be prevailed with to pardon them.","Myr va shoh dy aashagh toiggit liorish yn Israelite s’fardalee, dy jarroo myr shen yn Creestee sloo ynsit, tra t’eh toiggal, dy daink nyn Jiarn Yeesey Creest dy ve ny Oural er nyn son, as dy ren Eshyn [21] gymmyrkey slane Errey nyn Beccaghyn,—eshyn nagh bione da Peccah;—nee eh dy aashagh toiggal cre cha trimshagh as va Stayd Sheelnaue, va feme lheid yn Oural:—Dy lhisagh shoh er-y-fa shen shin y injillaghey,—shin y leeideil gys Arrys,—shin y yannoo agglagh dy chur Corree er Jee,—As dy chur Dwoaie da ny Peccaghyn shen chost e Vioys da Yeesey Creest, roish my voddagh Jee v’er ny veiyghey dy leih ad."
"He will also easily understand, that the Love of Christ, and the Remembrance of his Death, ought to be very dear to us; and that the oftener we remember it, in the Manner he ordained, the more Graces we shall receive from God,—The firmer will be our Faith, the surer our Pardon, and the more comfortable our Hopes of meeting Him, not as an Enemy, but as a Friend, at whose Table we have been so often entertained.","Nee eh myrgeddin dy aashagh toiggal, dy lhisagh Graih Chreest, as Cooinaghtyn jeh e Vaase, ve feer deyr dooin; as myr s’menkey nee mayd cooin aghtyn er, ‘syn Aght t’eh hene er n’oardaghey, shen myr smoo dy Ghrayseyn yiow mayd veih Jee,—Myr s’niartal vees nyn Gredjue, myr shickyree vees nyn Bardoon, as myr s’gerjoilee vees nyn Dreishteil dy gholl ny whail, cha nee myr Noid, agh myr Carrey, as ec e Voayrd ta shin cha mennick er ve nyn Ghoaldee."
,
"And now, if you have considered what you have read with any Degree of Attention, you will pause a-while,—until you have expressed your Gratitude for this Mercy, after some such Manner as this following.","As nish, my t’ou er ghoaill gys dty Chree shen ny t’ou er lhaih, lesh Ayrn erbee dy Chiarail, nee oo smooinaghtyn ort hene son tammylt,—derrey t’ou er n’ockley magh dty Vooise son y Vyghin cheddin, ayns lheid ny Goan shoh."
,
[22],[22]
The PRAYER.,YN PHADJER.
,
"O Jesus, who hast loved us, and washed us from our Sins, and purchased us by thy own Blood,—and did ordain this Sacrament, in order to secure us to thy self, by a grateful Remembrance ofwhat thou hast done and suffered for us, make me truly sensible of thy Love, and of our sad Condition, which did require such a Sacrifice.","O Yeesey, t’er ehoyrt Graih dooin, as er niee shin veih nyn Beccaghyn, as er chosney shin dhyt hene lesh dty Uill,—as doardee yn Sacrament shoh, dy reayll shin shickyr dhyt hene, liorish Cooinaghtyn booisal y ve ain jeh ny t’ou er n’yannoo as er hurranse er nyn son, cur dou Ennaghtyn firrinagh jeh dty Ghraih’s, as jeh’n Stayd hrimshagh ainyn, va feme lheid yn Oural."
"May I always receive this Pledge of thy Love,—The Offers of Mercy, Pardon and Grace, tendered to us, in this holy Ordinance, with a thankful Heart, and in Remembrance of Thee our great and best Benefactor; in Remembrance of thy holy Example,—Of thy Heavenly Doctrine—Of thy laborious Life—Of thy bitter Passion and Death—Of thy glorious Resurrection—Of thy Ascension into Heaven—and of thy Coming again to judge the World.","Lhig dooys dy kinjagh goaillyn Cowrey shoh jeh dty Ghraih.—Ny Chebbyn dy Vyghin, dy Phardoon, as dy Ghrayse, t’er nyn goyrt dooin ayns yn Oardaghey casherick shoh, lesh Cree booisal, as ayns Cooinaghtyn Jeed’s nyn ynrycan Charrey share; ayns Cooinaghtyn jeh dty Hampleyr casherick,—Jeh dty Ynsaghey Flaunyssagh—Jeh dty Vea Gheinagh,—Jeh dty Hurranse as dty Vaase sharroo—Jeh dty Irree-seose-reesht gloyroil—Jeh dty Gholl-seose gys Niau—as jeh dty Heet-reesht dy vriwnys y Theihll."
"And may I never forget the Obligations thou hast laid upon us, to live as becomes thy Disciples, and to forsake every Course of Life contrary to thy Gospel!—Cease not, O Lord, to love us; and by the Grace [23] vouchsafed in this Ordinance, cause us to love Thee with all our Hearts. Amen.","As ny lhig dou dy bragh jarrood ny Kianglaghyn t’ou er chur orrin, dy leeideil Bea myr ta cooie dauesyn ta credjal aynyd, as dy hreigeil dy chooilley Aght Bea ta noi dty Hushtal!—Lhig da dty Ghraih, O Hiarn, [23] ve dy kinjagh marin, as liorish y Ghrayse s’cooidsave lhiat shirveish orrin ‘syn Oardaghey shoh, cur orrin ve graihagh ort lesh ooilley nyn Gree. Amen."
,
,
,
SECT. III.,CAB. III.
How a Christian ought to prepare himself for this Sacrament.,Yn Aght lhisagh Creestee eh-hene y gheddyn aarloo cour y Sacrament shoh.
"AS the above Account of this holy Ordinance is easy to be understood, even by the most unlearned Christian; so the Preparation required is such, as will neither puzzle the Understanding, nor burden the Memory, nor take up too much of the Time of those that are engaged in the most necessary Employments of Life.","MYR ta’n Coontey shoh jeh’n Oardaghey casherick shen aashagh dy ve toiggit, dy jarroo liorish y Chreestee sloo dy Ynsaghey; myr shen ta’n Aarlaghey ymmyrchagh er y hon lheid, as nagh jean goll erskyn y Tushtey, ny laadey yn Chooinaghtyn, ny goaill seose rouyr jeh’n Traa ocsyn smoo ta geiyrt er Aghtyn-beaghee ymmyrchagh y Vea shoh."
"The Church had regard to all her Members, when she gave this short and plain Direction to such as prepare to go to the Lord’s Supper.","Va Sooill ec yn Agglish gys ooilley e Holtyn, tra hug ee yn Choyrle ghiare as aashagh shoh dauesyn ta geddyn aarloo dy gholl gys Shibber y Chiarn."
"That they examine themselves,","Dy jean ad ad-hene y eysht,"
Whether they repent them truly of their former Sins?,Vel ad goaill Arrys firrinagh son nyn Beccaghyn t’ad hannah er n’yannoo?
Whether they stedfastly purpose to lead a new Life?,Vel ad dy shickyr kiarail Bea noa y leeideil?
Whether they have a lively Faith in God’s Mercy through Christ? [24],Vel Credjue bioal oc ayns Myghin Yee trooid Creest? [24]
"Whether they have a thankful Remembrance of his Death? And,","Vel Cooinaghtyn booisal oc jeh e Vaase? As,"
Whether they be in Charity with all Men?,Vel ad ayns Giastyllys rish dy chooilley Ghooinney?
"Now, forasmuch as all Christians, who are capable of examining themselves and their own Consciences, are bound, as they hope for Salvation through Christ, to go to this Sacrament: And because young People are often at a Loss how to examine themselves upon these several Heads: Here follow a few plain Directions, which they that can read, should read with Care; and they that cannot, if they have a true Concern for themselves, will find some good Christian, who will be glad to read it to them, and do thereby a Work which must be well-pleasing to God.","Nish, son wheesh as dy vel dy chooilley Chreestee, oddys feysht ad hene as nyn Gooinsheanseyn, kianlt dy gholl gys y Sacrament shoh, myr t’ad jerkal rish Saualtys trooid Creest: As son wheesh as dy vel Sleih aegey dy mennick mee-hushtagh kys dy gholl mysh feysht ad hene er dagh Banglane jeu shoh:—Yiow ad ny-yeï shoh Coyrle ghiare aashagh, lhisagh adsyn oddys lhaih y lhaih dy kiaralagh; as adsyn nagh vod lhaih, my ta scansh firrinagh oc jeu hene, yiow ad Creestee coair ennagh, ghoys Boggey dy lhaih eh daue, as liorish shen jannoo obbyr feer vooisal da Jee."
,
"The First Head on which you are to examine yourself, is concerning your Repentance.","Yn Chied Vanglane t’ou dy eysht oo hene er, te mychione yn Arrys ayd."
"BY what you have already heard concerning the Fall of Man, you understand how all Men became subject and prone to Sin; and you cannot but feel it to be so by sad Experience. We are assured also, and this by the Spirit of God, that without a sincere [25] Repentance no Man must hope to be saved.","LIORISH ny t’ou hannah er chlashtyn mychione Dooinney ve er duittym ayns Peccah, t’ou toiggal kys haink dy chooilley Ghooinney fo Reill Peccah, as lhiant huggey; as nagh vod oo agh gennaghtyn dy nee shen myr te liorish Prowal trimshagh. Ta [25] Shickyrys ain myrgeddin, as shoh liorish Spyrryd Yee, fegooish Arrys firrinagh nagh nhegin da Dooinney erbee jerkal dy ve er ny hauail."
"Now by Repentance you are to understand a Man’s condemning himself, for having done any thing displeasing to God;—either such Things as God has forbidden, to keep us from ruining ourselves, or by omitting such Duties as he has commanded, in order to fit us for Happiness when we die.","Nish liorish Arrys t’ou dy hoiggal, Dooinney ta deyrey eh hene son dy vel eh er n’yannoo Nhee erbee noi Aigney Yee;—edyr lheid as ta Jee er lhiettal, dy reayll shin veih shin hene y chur naardey, ny lhiggey shaghey ny Curmyn shen t’eh er harey, dy yannoo shin cooie son Maynrys tra yiow mayd Baase."
"So that if either the Fear of God’s Displeasure, or a Love of Him, who has been so good to you, will weigh with you, you will most heartily condemn yourself for every thing you have done contrary to his Will and Command.","Myr shen my t’ou jannoo Soiaghey erbee jeh Aggle roish Jymmoose Yee, ny Graih dasyn t’er ve cha mie rhyt, nee oo dy arryltagh oo hene y gheyrey son dy chooilley Nhee t’ou er n’yanooo noi e Aigney as e Harey."
"You will also beg him most earnestly to forgive you what is past, and you will promise and resolve, through his Grace and Help, not wilfully to offend Him again.","Nee oo myrgeddn dy feer jeean guee er dy leih dhyt ny t’er n’gholl shaghey, as giallee oo as kiaree oo, trooid e Ghrayse as e Chooney, nagh jean oo jeh dty Yioin Jymmoose y chur er reesht."
"And lastly, you will not forget to pray for his Grace every Day of your Life, without which your best Resolutions will come to nothing.","As lurg ooilley, cha jarrood oo dy ghoaill Padjer son e Ghrayse dy chooilley Laa jeh dty Vea, n’egooish hed ny Gialdynyn share ayd naardey."
"This is that Repentance, concerning which you are required to examine yourself, before you go to the Lord’s Supper. [26]","Shoh yn Arrys shen, mychione t’ou sarit dy eysht oo hene, roish my hed oo gys Shibber y Chiarn, [26]"
"Most People, ‘tis true, are ready to own that they are Sinners, and cry, Lord, forgive us; and this too often without any great Concern, or Purposes of Amendment.","S’feer eh, dy vel y chooid smoo dy Leih aarloo dy ghoaill rish dy nee Peccee ad, as eie-ee ad magh, Hiarn, leih dooin; as shoh ro-vennick fegooish Scansh vooar erbee, ny Kiarail dy Lhiassaghey Bea."
"But this you will not think sufficient, when you seriously consider that the End and Punishment of Sin are not to be seen in this Life.","Agh cha jean uss smooinaghtyn dy vel shoh dy liooar, tra t’ou goaill gys dty Chree nagh vel Jerrey ny Kerraghey Peccah dy kinjagh er ny akin ayns y Vea shoh."
"If therefore you stand in any Fear of the Judgement of God, set yourself seriously to consider your past Life; see whether you have not lived, or do not now live, in any known Sin, or evil Habit: Of Lying,—for Example;—or Swearing,—or Drinking—or filthy Talking;—Of Uncleanness,—Of keeping loose and profane Company,—Of following unwarrantable Pleasures and Diversions, or of leading an idle, useless, sinful Life.","Shen-y-fa my t’ou shassoo ayns veg yn Aggle roish Briwnys Yee, gow dy creeoil mysh smooinaghtyn er dty Vea t’er n’gholl shaghey; jeeagh nagh vel oo er veaghey, ny nagh vel oo ec y Traa t’ayn beaghey, ayns Peccah ny Drogh-chliaghtey erbee er-fys dhyt: Lheid as Ginsh Breagyn,—ny Loo,—ny Meshtyrys,—ny Glare feohdagh;—Neu-ghlennid,—Freayll Sheshaght rouanagh as mee-chrauee,—Geiyrt da Eunyssyn as Cliaghtaghyn neu-lowal, ny leeideil Bea litcheragh, gyn ymmyd, as peccoil."
,
"If this hath been your Case, resolve to break off all these, and all such-like evil Ways, which are displeasing to God; condemn yourself for having so desperately broke the Commands of one who can destroy both Body and Soul in Hell. Consider the Vows that are [27] upon you,—and despise not the Goodness and Forbearance of God, which is designed to lead you to Repentance. ","My she shoh t’er ve dty Stayd, kiare dy vrishey jeh ooilley ny Raaidyn olk shoh, as ooilley nyn lheid elley, ta noi Aigney Yee; jean oo hene y gheyrey son dy vel oo cha dowil er vrishey ny Annaghyn echeysyn oddys stroie chammah Callin as Annym ayns Niurin.—Smooinee er ny Breearaghyn t’ou fo, [27] as ny jean beg y hoiaghey jeh Mieys as Surranse-foddey Yee, ta kiarit dy leeideil oo gys Arrys."
,
"If you ask when you are to Begin this necessary Work, (if it is not already begun) the Answer is short:—The very Moment you ask the Question;—and this, because, if you find an Unwillingness in yourself to set about it now, that Unwillingness will every Day increase: Very probably you will never repent, unless God by his Judgements, or by the Sight of Death, shews you your fad Error, when it may be too late to be of any real Use to you.","My enys oo cre’n Traa t’ou dy yannoo Toshiaght er yn Obbyr ymmyrchagh shoh (mannagh vel Toshiaght hannah jeant er) ta’n Ansoor giare;—’Syn eer Shallid shoh t’ou fenaght y Question;—as shen, er-yn-oyr, my t’ou gennaghtyn Neu-arryltys aynyd hene dy gholl mygeayrt-y-mysh ec y Traa t’ayn, dy jean yn Neu-arryltys shen bishaghey dy chooilley Laa: Feer laik nagh gow dy bragh Arrys, mannagh jean Jee liorish e Vriwnyssyn, ny liorish shilley jeh’n Vaase, jeeaghyn dty Haghrynys trcih dhyt, tra oddys eh ve ro-anmagh dy ve jeh Foays firrinagh erbee."
,
"Now, if these Considerations affect your Heart, as sure they will, if you have any Regard for your Salvation, represent your Desires to God in some such Words as these following:","Nish, my nee ny smooinaghtyn shoh goaill Greme er dty Chree, myr son shickyrys nee ad, my ta monney erbee dy Chiarail ort son dty Haualtys, cheb seose dty Yeearreeyn gys Jee ayns lheid ny Goan shoh;"
,
The PRAYER.,Yn PHADJER.
,
"BLESSED be God, who by  his Grace, and by the Voice of his Church hath called me to Repentance! Discover to me, O thou [28] Searcher of Hearts, the Charge that is against me, that I may know and confess, and forsake, the Sins I have fallen into—Give me that true Repentance, to which thou hast promised Mercy and Pardon, that I may amend where I have done amiss, and that Iniquity may not be my Ruin.—And, O blessed Advocate, who ever livest to make Intercession for us, I put my Cause into thy Hands; let thy Blood and Merits plead for me, and by thy mighty Intercession procure for me the Pardon of my past Offences:—That thou mayest say unto me, as thou didst unto the Penitent in the Gospel,—Thy Sins are forgiven;—so that I may go with a quiet Conscience to thy Holy Table. Amen.","BANNIT dy row Jee, ta liorish e Ghrayse, as liorish Goo e Agglish er n’eamagh orrym gys Arrys! Soilshee dou, O uss ta ronsagh ny [28] Creeaghyn, yn Coontey ta m’oi, dy voddym toiggal as goaill-rish, as treigeil ny Peccaghyn ta mee er huittym ayndoo.—Cur dooys yn Arrys- firrinagh shen da t’ou er n’ghialdyn Myghin as Pardoon, dy voddym my Vea y lhiassaghey raad ta mee er n’yannoo ass y Raad, as nagh bee Mee-chairys yn Toyrtmow aym.—As, O uss yn Er-bannit ta eddyr shin as Jee, ta dy bragh bio dy chosney Pardoon er nyn son, ta mee coyrt my Chooish ayns dty Laueyn, lhig da dty Uill as dty Hoilchinys loayrt er my hon, as liorish dty Phleadeil niartal fow Leih dooys son ooilley my Pheccaghyn:—Dy vod oo gra rhyms myr dooyrt oo rish yn Arryssagh ayns y Tushtal,—Ta dty Pheccaghyn er nyn leih dhyt;—myr shen dy voddym goll lesh Cooinsheanse sheeoil gys dty Voayrd casherick. Amen."
,
SECT. IV.,CAB. IV.
"Concerning the Purposes you are to make of leading a New, that is, a Christian, Life.","Mychione ny Gialdynyn ta ort dy yannoo dy leeideil Bea Noa, ta shen, Bea Chreestee."
"IN the first Place, take especial Notice, that God accepts of our Repentance on this Condition only, that we [29] may afterwards glorify him by an Holy Christian Life,","AYNS y chied Ynnyd, gow Tastey mie, dy vel Jee jannoo Soiaghey jeh nyn Arrys er ynrycan yn Conaant [29] shoh, dy jean mayd veih’n Traa shen magh eh y ghloyraghey lesh Bea Chasherick Chreestee."
,
"And as he delivered the People of Israel from Bondage, not that they might do what was right in their own Eyes, but that, becoming an holy Nation, they might be an Honour to their Deliverer,—Deut. xix. 5. Even so Christ hath redeemed us from the Bondage of Sin and Satan, that he might redeem us from this present evil World, and purify unto himself a People zealous of good Works.","As myr ren eh Pobble Israel y livrey veih Bondiaght, cha nee dy row ad dy yannoo shen va cairal ayns ny Sooillyn oc hene, agh, erreish daue v’er jeet dy ve Ashoon casherick, dy voddagh ad ve son Ard-ghloyr Dasyn ren ad y livrey.—Deut. xix. 5.—Dy jarroo myr shen ta Creest er eaysley shinyn veih Bondiaght Peccah as Noid ny Hanmey, dy livrey shin veih’n Seihll vee-chrauee shoh, as dy chasherickey da hene Pobble jeean ayns Obbraghyn mie."
"And as the former perished, that is, all such as did not answer the End of their Deliverance, so most surely shall we do, if we do not obey our Redeemer.","As myr ren Pobble Israel cherraghtyn, ta shen dy ghra, Adsyn ooilley nagh ren gansoor yn Oyr v’ad livreit er y hon, myrgeddin son shickyrys nee shinyn, mannagh bee mayd biallagh da nyn Ver-kionnee."
"Your Duty to God, your Neighbour, and Yourself, you have known from a Child:—Be assured of it, you will meet with Temptations from the Devil, the World, and your own corrupt Heart, both to neglect and transgress the Commands of God.","Dty Churrym gys Jee, gys dty Naboo, as Hood-hene, ta Toiggal er ve ayd jeh neayr’s v’ou dty Lhiannoo:—Bee shickyr jeh, dy meet oo rish Miolaghyn veih’n Drogh-spyrryd, veih’n Seihll, as veih dty Chree Molteyragh hene, chammah dy yannoo Meerioose er as dy vrishey Annaghyn Yee."
