A. Er-yn-oyr dy nee nyn Jiarn Yeesey ren ee.,A. Because our Lord Jesus made this prayer.,
Q. Quoi dty Ayr flaunyssagh?,Q. Who is our heavenly Father?,
A. Jee Ooilley niartal.,A. God Almighty.,
Q. Cre’n fa t’ou genmys Jee dty Ayr?,Q. Why do you call God your Father?,
A. Er-yn-oyr dy vel eh abyl as booiagh dy chur dooin dy chooilley nhee mie ta shin fenaght jeh er y hon.,A. Because He is able and willing to give us all the good things we ask Him for.,
"Q. Cre’n fa t’ou gra Ayr ain, as cha nee my Ayr’s?","Q. Why do you say our Father, and not my Father?",
"A. Ta shin ynsit dy ghoaill padjer son nyn mraaraghyn, ta shen, son slane sheelnaue, as cha nee son ain hene ny lomarcan.","A. We are taught to pray for our brethren, that is, for all mankind, and not for ourselves alone.",
"Q. Cre’n oyr t’ou gra, Ta ayns Niau? Nagh vel Jee ayns dy chooilley voayll?","Q. Why do you add, which art in Heaven? Is not God every where?",
"A. Ta: Jee [sic: Ta: ta Jee] ayns dy chooilley voayll kionfenish, as er gerrey da dagh unnane ain.","A. Yes; God is every where present, and near to every one of us.",
Q. Cre’n aght eisht oddys eh ve rait dy ve ayns Niau?,Q. How then may he be said to be in Heaven?,
A. Er-yn-oyr dy nee Niau yn boayl ayn smoo t’eh soilshagh magh e ooashley as e ghloyr.,A. Because Heaven is the place where He most shews forth His majesty and glory.,
SECT. X.,SECT. X.,
Q. CRE t’ou toiggal liorish casherickey ennym Yee?,Q. What is meant by hallowing God’s name?,
"A. Jannoo ymmyd jeh ennym Yee ayns yn aght s’crauee [20] as casherick, as soiagh mooar jeh dagh nhee ta bentyn da.","A. Using the name of God in the most holy and reverent manner, and highly esteeming all things that belong to Him.",
"Q. Cre ta ny reddyn shen ta shin dy hoiagh mooar jeu, er-yn-oyr dy vel ad bentyn da Jee?",Q. What are those things that we are to esteem highly because they belong to God? ,
"A. E Ghoo as e Hacramentyn, e Laa, e Hie, as e Haggyrtyn.","A. His Word and Sacraments, His Day, His House, and Ministers.",
"Q. Cre t’ou meanal tra t’ou guee, Dy jig dty Reeriaght?","Q. What do you mean when you pray, Thy kingdom come?",
A. Ta mee meanal three reddyn.,A. I mean three things.,
Q. Cre t’ou meanal hoshiaght?,Q. What do you mean first?,
A. Dy jinnagh Jee chyndaa ooilley sheelnaue dy ve nyn greesteenyn.,A. That God would convert all men to be Christians.,
Q. Cre ta’n nah red t’ou meanal?,Q. What do you mean secondly?,
"A. Dy jinnagh Jee myr shen reill ayns nyn greeaghyn dy vod mayd ooashley chur da, as shirveish eh ’naght myr lhisagh shin.","A. That God would so rule in our hearts, that we may worship and serve him as we ought to do.",
Q. Cre ta’n trass red t’ou meanal?,Q. What is the third thing you mean?,
"A. Dy jinnagh Jee shin ooilley y yannoo aarloo son Reeriaght e ghloyr, as ayns e hraa mie hene ’chur lesh shin huggey.","A. That God would make us all fit for his kingdom of Glory, and in his good time bring us thither.",
"Q. Cre t’ou toiggal tra t’ou gra, Dty aigney’s dy row jeant er y Thalloo, myr te ayns Niau?","[25] Q. What do you mean when you say, Thy Will be done in Earth as it is in Heaven?",
"A. Ta mee guee hoshiaght, Dy vod mayd cha arryltagh as cha kiarralagh biallys y choyrt da aigney Yee er y thalloo, myr ta ny Ainleyn bannee dy yanno [sic: yannoo] ayns niau. As ’sy nah ynnyd, Dy vod mayd dy meen ginjillaghey shin hene gys aigney Yee ayns dy chooilley stayd cre-erbee.","A. I pray first, That we may as readily and constantly obey the will of God on earth, as the blessed Angels do in Heaven. And secondly, That we may patiently submit to the will of God under all conditions whatsoever.",
"Q. Cre t’ou toiggal tra t’ou gra, Cur dooin jiu nyn arran gagh laa?","Q. What do you mean when you say, Give us this day our daily Bread?",
A. Ta mee guee gys Jee dy der eh hooin daghnhee [sic: dagh nhee] ta ymmyrchagh chammah son nyn anmeenyn as nyn gallinyn.,A. I pray unto God that he would send us all things that be needful both for our souls and bodies.,
"Q. Lurg dooin v’er ghuee son arran gagh-laa, cre smoo t’er ny hirrey orrin?","Q. After having prayed for our daily bread, what more is required of us?",
"A. Tarrooid onneragh ayns nyn aght-beaghee, as nyn marrant y choyrt er bannaght Yee.","A. An honest industry in our callings, and dependence on the blessing of God.",
Q. Cre t’ou toiggal liorish y fockle loghtyn?,Q. What do you mean by the word Trespasses?,
A. Peccaghyn.,A. Sins.,
"Q. Cre t’ou toiggal tra t’ou gra, Leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi?","Q. What do you mean when you say, Forgive us our Trespasses, as we forgive them that trespass against us?",
"A. Dy jinnah [sic: jinnagh] Jee leih dooin nyn beccaghyn, myr ta shin leih dauesyn t’our [sic: t’er] chur jymmoose orran [sic: orrin].","A. That God would forgive us our sins, as we forgive them who have offended us.",
Q. Cre mannagh jean mayd leih dauesyn t’er chur jymmoose orrin? ,Q. What if we will not forgive those that have offended us?,
[21] A. Cha leih Jee nyn loghtyn dooin.,[26] A. God will not forgive us our sins.,
Q. Cre t’ou toiggal liorish y fockle miolagh?,Q. What do you mean by the word Temptation?,
A. Dy ve er ny chleaynagh ny tayrnit gys peccha [sic: peccah].,"A. An hard trial, or being enticed to sin.",
"Q. Cre t’ou toiggal tra t’ou gra, Ny lieed shin ayns miolagh, agh livrey shin veih olk.","Q. What do you mean when you say, Lead us not into temptation, but deliver us from evil?",
"A. Ta mee guee hoshiaght, Nagh jean Jee surranse shin dy ve er nyn leeideil ayns lheid y miolagh as ver orrin tuittym: as ’sy nah ynnyd, Dy gooidsave lesh Jee dy reayll shin veih dagh peccah as olkys, veih noid ny hanmey, as veih baase dy bragh farraghtyn as kerraghey.","A. I pray first, that God would not suffer us to be led into any such hard trial, as may cause us to fall; and secondly, that God would be pleased to deliver us from all sin and wickedness; from our ghostly, that is, our spiritual enemy the Devil, and from everlasting death and punishment.",
"Q. Cre t’ou toiggal tra t’ou gra, Lhiat’s y Reeriaght?",Q. What do you mean when you say. Thine is the Kingdom?,
A. Dy vel Jee ny Ree er Niau as Thalloo.,A. That God is the King of Heaven and Earth.,
"Q. Cre t’ou toiggal liorish, Lhiat’s y Phooar?","Q. Why do you add, Thine is the Power?",
A. Dy vel pooar ec Jee dy chur dooin ooilley ny ta shin jannoo padjer er y hon.,A. Because God has power to give us all we pray for.,
"Q. Cre t’ou toiggal liorish, Lhiat’s y Ghloyr?","Q. What do you mean by, Thine is the Glory?",
"A. Dy vel shin gys rere nyn booar dy chur dy chooilley ooashley, moylley as gloyr da Jee.","A. That we give all possible honour, praise, and glory to God.",
Q. Cre t’ou toiggal liorish y fockle Amen?,[27] Q. What do you mean by the word Amen?,
"A. Myr shen dy row eh: Ny, ta me treishteil dy jean Jee shoh y yannoo jeh e vyghin as e vieys trooid nyn Jiarn Yeesey Creest.","A. So be it: Or, I trust that God will do this of his infinite mercy and goodness, through our Lord Jesus Christ.",
SECT. XI.,SECT. XI.,
,Of the Sacraments.,
Q. CRE wooad Sacrament t’ayn?,Q. How many Sacraments are there?,
A. Jees.,A. Two.,
Q. Cre ad?,Q. What are they?,
A. Bashtey as Shibber y Chiarn.,A. Baptism and the Lord’s Supper.,
Q. Quoi doardee ad?,Q. Who ordained them?,
A. Creest hene.,A. Christ himself.,
"Q. Vod dooinney lhiggey shaghey ny Sacramentyn casherick shoh, my ta tra echey dy ghoaill ad?","Q. May a man neglect these holy Sacraments, if he has opportunity to receive them? ",
A. Cha vod fegooish gaue jeh e haualtys.,A. Not without hazard of his Salvation.,
Q. Cre t’ou toiggal liorish y fockle Sacrament?,Q. What do you mean by the word Sacrament?,
"A. Ta mee toiggal yn cowrey t’er ny aikin cheumooie jeh’n ghrayse spyrrydoil er cheu sthie, &c.","A. I mean an outward visible sign of an inward and spiritual grace, &c. ",
Q. Cre ta’n cowrey t’er ny aikin er cheu mooie?,Q. What is the outward visible sign?,
A. Shen ny t’er ny aikin liorish y thooill.,A. That which is seen by the eye.,
Q. Cre ta’n ghrayse spyrrydoil er cheu-sthie?,[28] Q. What is the inward and spiritual grace?,
A. Yn foayr ny’n vondeish ta shin geddyn da nyn anmeenyn.,A. That favour or benefit we receive to our souls.,
Q. Cre’n aght ta ny Sacramentyn saaseyn lioroo ta shin geddyn grayse spyrrydoil? ,Q. How are Sacraments means whereby we receive spiritual grace?,
[22] A. Myr dy nee lioroo scooidsave lesh Jee e ghrayse y chur da nyn anmeenyn.,A. As by them God is pleased to convey his grace to our souls.,
Q. Cre’n-fa t’ad rait dy ve gioalyn?,Q. Why are they said to be pledges?,
A. Er-yn-oyr dy vel ad cowraghyn shickyr ny eearlys jeh graih as foayr Yee hooinyn ayns Creest Yeesey.,A. Because they are such tokens or earnests of God’s love and favour to us in Christ Jesus.,
Q. Cre wooad ayrn t’ayns Sacrament?,Q. How many parts are there in a Sacrament?,
"A. Jees: Yn cowrey t’er ny aikin cheu-mooie, as y ghrayse syyrrydoil [sic: spyrrydoil] er cheusthie.","A. Two: the outward visible sign, and the inward spiritual grace.",
Q. Cre ta’n cowrey t’er ny aikin cheu-mooie ayns bashtey?,Q. What is the outward visible sign in baptism?,
"A. Ushtey ayn ta’n persoon<,> er ny vashtey.","A. Water, wherewith persons are baptized.",
Q. Ayns quoi’n ennym t’ad er nyn mashtey?,Q. In whose name are they to be baptized?,
"A. Ayns ennym yn Ayr, as y Mac, as y Spyrryd Noo.","A. In the name of the Father, and of the Son, and of the Holy Ghost.",
Q. Cre ta’n ghrayse spyrrydoil er cheu-sthie anys [sic: ayns] bashtey?,Q. What is the inward and spiritual grace in baptism?,
"A. Baase gys peccah, as bea noa gys craueeaght, &c.","A. A death unto sin, and a new birth unto righteousness, &c.",
Q. Cre t’ou toiggal liorish baase gys peccah?,[29] Q. What is meant by a death unto sin?,
"A. Dy ve er ny ghlenney veih loght nyn beccaghyn t’er n’gholl shaghey, as ve er nyn niartaghey dy reayll fo chosh ooilley nyn yeearreeyn olk as neu-ghlen.","A. The being cleansed from the guilt of our past sins, and having strength to mortify all our evil and corrupt inclinations.",
Q. Cre’n aght ta shoh er ny chowraghey liorish ushtey?,Q. How is this signified or represented by water?,
A. Er-yn-oyr dy nee yn ymmyd ta cour ushtey dy niee as dy yannoo glen.,A. Because the use of water is to wash and make clean.,
Q. Cre t’ou toiggal liorish bea noa gys craueeaght?,Q. What do you mean by a new birth unto righteousness?,
A. Goaill toshiaght ayns bea noa as crauee.,A. The entering upon a new and godly life.,
Q. Cre’n aght v’ou liorish dooghys dy [sic: dty] lhiannoo dy chorree?,Q. How were you by nature a child of wrath?,
A. Va mee ruggit fo corree as jymmoose Yee.,A. I was born under God’s wrath and displeasure.,
Q. Cre’n aght va shen?,Q. By what means?,
"A. Liorish peccah nyn gied ayr as moir, haink shin ooilley stiaght ’sy theihll broghe ayns nyn googhys [sic: ghooghys].",A. By the sin of our first parents we all came into the world corrupted in our natures.,
Q. Cre’n aght ren nyn gied ayr as moir peccah?,Q. How did our first parents sin?,
A. Liorish gee jeh’n mess va sarit voue.,A. By eating the forbidden fruit.,
Q. Cre t’ou toiggal liorish ve jeant dty lhiannoo dy ghrayse?,Q. What do you mean by being made a child of grace? ,
A. Dy ve er ny yannoo coardit rish graih as foayr Yee.,A. The being reconciled to God’s love and favour.,
Q. Cre’n aght ta bashtey jannoo oo coardit rish graih as foayr Yee?,[30] Q. How does baptism reconcile you to God’s love and favour?,
A. Liorish niee ersooyl loght yn peccah shen ayn va mee er my ruggey.,A. By washing away the guilt of that sin wherewith we are born.,
Q. Cre’n aght ta loght yn peccah shen nieet ersooyl liorish bashtey?,Q. How is the guilt of that sin washed away by baptism?,
"A. Trooid surranse nyn Jiarn Yeesey Creest, ayns quoi’n ennym ta shin bashtit.","A. Through the sufferings of our Lord Jesus Christ, in whose name we are baptized.",
Q. Cre t’er ny hirrey er persoonyn dy ve er ny vashtey?,Q. What is required of persons to be baptized?,
A. Arrys as credjue.,A. Repentance and faith.,
[23] Q. Cre t’ou toiggal liorish arrys?,Q. What do you mean by Repentance?,
"A. Dy ve trimshagh veih nyn gree son nyn beccaghyn t’er n’gholl shaghey, as kiarail dy bollagh dy hreigeil ad son y tra ta ry-heet.","A. An hearty sorrow for sins past, and an utter forsaking them for the time to come.",
Q. Cre t’ou toiggal liorish credjue?,Q. What do you mean by Faith?,
A. Dy firrinagh credjal dy chooilley nhee ta er ny hoilshaghey dooin ayns goo Yee.,A. An hearty belief of all things made known to us in the word of God.,
"Q. Cre’n-fa eisht ta oikanyn er nyn mashtey, tra nagh vod ad edyr credjal ny goaill arrys?","Q. Why then are infants baptized, when they can neither believe nor repent?",
"A. Tad gialdyn liorish nyn ranteenyn, tra hig had [sic: ad] gys eash, dy jean ad peccah y hreigeil, as credjal ayns goo Yee.","A. They promise by their sureties, that when they come to age they will forsake sin, and believe in the word of God.",
SECT. XII.,SECT. XII.,
Q. CRE ta’n Sacrament elley?,Q. What is the other Sacrament?,
A. Yn Sacrament jeh Shibber y Chiarn.,A. The Sacrament of the Lord’s Supper.,
Q. Cre’n-fa ta shin genmys eh Shibber y Chiarn?,Q. Why do you call it the Lord’s Supper?,
A. Er-yn-oyr dy ren nyn Jiarn Yeesey Chreest eh y oardaghey ec yn shibber s’jerree marish e ostyllyn.,A. Because our Lord Jesus Christ ordained it at his last Supper with his Disciples.,
Q. Cre’n oyr ren Creest pointeil yn Shibber casherick shoh?,Q. For what end did Christ ordain this holy Supper?,
"A. Son cooinaghtyn kinjagh jeh e vaase, as jeh ny vondeishyn ta shin dy gheddyn liorish.","A. For the continual remembrance of the sacrifice of his death, and of the benefits we receive thereby.",
Q. Cre ta’n cowrey t’er ny akin cheu mooie ayns y Sacrament shoh?,Q. What is the outward visible sign in this Sacrament?,
A. Arran as Feeyn.,A. Bread and Wine.,
Q. Cre ta shoh cowraghey?,Q. What does this signify or represent?,
"A. Corp Chreest va er ny vrishey, as e uill va er ny gheayrtey er y chrosh son y taualtys ain.","A. The body of Christ which was bruised, and his blood which was shed upon the cross for our Salvation.",
Q. Cre’n aght oddys mayd goaill corp as fuill Chreest?,Q. How can we receive the body and blood of Christ?,
A. Cha vod mayd goaill e eer chorp as fuill.,A. We cannot receive his real body and blood.,
Q. Cre eisht ta’n ghrayse spyrrydoil er cheusthie ta shin dy gheddyn?,[32] Q. What then is the inward spiritual grace that we do receive?,
A. Ynrycan ny vondeishyn jeh baase Chreest as e hurranse.,A. Only the benefits of Christ’s death and sufferings.,
Q. Quoi adsyn lhisagh cheet gys Shibber y Chiarn?,Q. Who are they that ought to come to the Lord’s Supper?,
"A. Dy chooilley chreeste [sic: chreestee], t’er jeet gys eash, keeall as tushtey, as ta beaghey cordail rish e chredjue.","A. All Christians, who are come to years of discretion, and live agreeable to their profession.",
Q. Cre ny kianglaghyn ta lheid ny lhie fo dy heet gys Shibber y Chiarn?,Q. What obligations do such lie under to come to the Lord’s Supper?,
"A. Sarey geyre Chreest, as ny vondeishyn chebbit da nyn anmeenyn hene.","A. The express command of Christ, and the benefits offered to their own souls.",
Q. Cre ta ny vondeishyn chebbit ayns y Sacrament casherick shoh? ,Q. What are the benefits offered in this holy Sacrament?,
"[24] A. Pardoon son nyn beccaghyn, grayse Spyrryd casherick Yee, as y gialdyn jeh bea veayn.","A. The pardon of our sins, the grace of God’s Holy Spirit, and the promise of eternal life.",
Q. Ayns cre’n aght ta ny anmeenyn ain er ny niartaghey as er ny ooraghey liorish ny vondeishyn shoh?,Q. In what manner are our souls strengthened and refreshed by these benefits?,
A. Er yn un aght as ta nyn girp er nyn niartaghey as er nyn ooraghey liorish yn arran as y feeyn cadjin.,A. In the same manner as our bodies are strengthened and refreshed by common bread and wine.,
Q. Cre’n aarlaghey t’er ny hirrey orroosyn ta cheet gys chibber y Chiarn?,Q. What preparation is required of them who come to the Lord’s Supper?,
"A. Dyn veysht ad hene vel ad dy firrinagh goaill arrys, &c.","[33] A. To examine themselves whether they repent, &c.",
Q. Cre ta ny currymyn ta lhie orrin ayns yn aarlaghey shoh?,Q. What are the duties contained in this preparation?,
"A. Dy hreigeil nyn beccaghyn, dy lhiassaghey nyn mea, dy chredjal ayns Creest, dy ve bioosal [sic: booisal] son nyn gionnaght reesht liorishyn, as dy ve ayns shee rish ooilley nyn naboonyn.","A. To forsake our sins, to amend our lives, to believe in Christ, to be thankful for our redemption by him, and to be in peace with all our neighbours.",
1. CHABDIL.,SECTION. I.,
Mychione yn daa Chonaant.,Of the Two Covenants.,
Question.,Question.,
Cre t’ou toiggal liorish Conaant?,What do you mean by a Covenant?,
Answer. Cordail eddyr daa phersoon.,A. An agreement between two parties.,
Q. Cre-woad conaant t’ayn?,Q. How many Covenants are there?,
"A. Jees; conaant dy obbraghyn, as conaant dy ghrayse.","A. Two; the Covenant of Works, and the Covenant of Grace.",
Q. Cre v’an [sic: va’n] conaant dy obbraghyn?,Q. What was the Covenant of Works?,
"A. Yn chied conaat [sic: chonaant] ren Jee rish Adam ayns Pargeys roish yn tuittym ayns peccah, ta enmyssit conaant dy obbraghyn, myr te geearree biallys slane gyn peccah; gialldyn Bea as maynrys er yn conaant shen, as baggyrt baase son meeviallys.","A. The first Covenant which God made with Adam in Paradise before the Fall, which is called the Covenant of Works, as it required a perfect unsinning obedience; promising life and happiness on that condition, and threatening disobedience with death.",
Q. Kys ren Adam brishey’n chied chonaant?,Q. How did Adam break this first Covenant?,
"A. Liorish gee jeh’n mess v’er ny obbal da, hug Jee ayns currym da gyn gee jeh er piayn baaish; as er yn aght shen haink eshin as ooilley e luight dy ve olk as neu-ghlen ayns nyn ghooghys, as arryltagh dy huittym ayns Peccah.","A. By, eating of the forbidden fruit of which God commanded him not to eat on [41] pain of death: and so he and all his offspring became corrupted in their nature, and prone to sin.",
"Q. Cre ta’n naa chonaant, ny’n conaant dy ghrayse?","Q. What is the second Covenant, or the Covenant of Grace?",
A. Yn conaant shen dy vyghin ren Jee rish Adam ayns Yeesey Creest chilleeragh lurg da tuittym ayns Peccah.,"A. That Covenant of Mercy which God made with Adam in Christ Jesus, immediately after the Fall.",
Q. Cre ren Jee gialldyn ayns yn naa chonaant shoh?,Q. What did God promise in this second Covenant?,
A. Dy choyrt e vac braa as ynrycan er ny gheddyn ayns y dooghys ain.,A. To send his eternal and only begotten Son in our nature.,
Q. Cre dy yannoo er nyn son?,Q. What to do for us?,
"A. Dy chur dooin toiggal jeh nyn gurrym, dy chur dooin niart noa dy chooilleeney eh, as dy chionnaghey shin reesht veih’n baase dy bragh farraghtyn shen as yn kerraghey va shin er hoilchin.","A. To reveal to us the knowledge of our duty, to give us new strength to perform it, and to redeem us from that eternal death and punishment we had deserved.",
Q. Kys ren Creest jannoo shoh?,Q. How did Christ effect this?,
"A. Haink eh gys y theihll, as ren eh preacheil Sushtal e Ayr, ayns y dooghys ain ren eh cooilleeney biallys slane da Aigney Yee, ren eh surranse, as hooar eh baase ayns yn ynnyd ain, as son nyn beccaghyn, liorish hooar eh dooin par[28]doon, grayse dy chooilleeney nyn gurrym, as bea as maynrys braa ayns flaunys.","A. He came into the world, and preached the Gospel of his Father, in our nature he paid a perfect obedience to the will of God; he suffered and died in our stead, and for our sins; by which he obtained for us the pardon of them, grace to do our Duty, and eternal happiness in heaven.",
"Q. Ren Creest, liorish geddyn baase er nyn son, cosney Pardoon son peccah Adam ny lomarcan?","[42] Q. Did Christ, by dying for us, obtain only the Pardon of Adam’s sin?",
"A. Ren,[19] hooar eh pardoon son peccaghyn ooilley sheelnaue, er conaant dy jinnagh ad cooilleeney ny ayrnyn oc jeh’n chonaant noa.","A. Yes, he obtained pardon for all the sins of mankind, upon condition that they performed their parts of the new Covenant.",
"Q. Cre ta lhie er dooinney dy chooilleeney yn chonaant noa shoh, ny’n conaant dy ghrayse?","Q. What is man’s part to perform in this new Covenant, or Covenant of Grace?",
"A. Dy chredjal ayns nyn Jiarn Yeesey Creest, dy yercal rish Saualtys liorish yn oural echey er y chrosh, dy hreigeil peccah, as dy leeideil Bea cordail rish yn sushtal echey.","A. To believe in our Lord Jesus Christ, to hope for salvation by means of his sacrifice on the Cross, to avoid sin, and to live according to his Gospel.",
Q. Cre’n caghlaa[20] ta eddyr yn naa as yn chied chonaant ayns yn veenit as yn vyghin oc?,"Q. Wherein does this second Covenant differ from the first, as to the mildness and mercy of it?",
"A. Myr va biallys slane as gyn peccah er ny yeearree er nyn chied ayrn [sic: ayraghyn], er piayn Baaish; te er ny yearree my oddys mayd ayns aght ynrick as creeoil dy hirveish Jee as dy chooilleeney e Annaghyn.","A. Whereas a perfect and unsinning obedience was expected of our first Parents, upon pain of death: we are only required to use our honest and hearty endeavours to serve God and keep his commandments.",
Q. Cre my ta shin failleil ny giare [?] ayns yn Viallys ain?,Q. What if we fail in our obedience?,
A. Ta Fer ain ta loayrt er nyn son rish yn Ayr Yeesey Creest yn Fer-cairail she eshyn yn liashaghey [sic: lhiasaghey] son nyn beccaghyn; as er yn ghraih echeys yn [sic: echeysyn] nee Jee soiaghey y yannoo jeh nyn Arrys firrinagh as creeoil as kiarail kinjagh dy yannoo ny share son y traa ta ry-heet.,"A. We have an Advocate with the Father, Jesus Christ the righteous, who is the propitiation for our sins; and for his sake God will accept of our sincere repentance and constant care to do better for the time to come.",
"Q. Cre my nee mayd lesh nyn aigney tannaghtyn ayns peccah, as meerioose jeh annaghyn Yee?","[43] Q. What if we wilfully continue in sin, and the neglect of God’s commandments?",
"A. Cha vou mayd vondeish erbee liorish surranse Chreest, as shegin dooin surranse baase as coalanmey dy bragh farraghtyn.","A. We can obtain no benefit from Christ’s sufferings, but must undergo eternal death and damnation.",
,,
,,
2. CHAB.,SECT II.,
"Mychione yn Aght ta shin dy ve goit stiaght ’sy Chonaant noa, &c.","Of the manner of our admission into the new Covenant, &c.",
Q. CRE t’ou toiggal liorish saase ayns craueeaght?,Q. What do you mean by a Rite?,
"A. Pardaghey [sic: Oardaghey], ny cliaghtey crauee.",A. A religious ordinance or ceremony.,
Q. Vel Creest er phointeil aght crauee erbee son goail shin stiagh ayns y chonaant noa dy ghrayse?,Q. Has Christ appointed any solemn rite for admitting us into the new Covenant of Grace?,
A. Ta; Sacrament Bashtey.,A. Yes; the Sacrament of Baptism.,
Q. Cre ta jeaynt ’sy Sacrament shoh?,Q. What is done in this Sacrament?,
"A. Ta Jee ooilley-niartal liorish, soiagh roish dy chooilley phersoon er-lheh yn conaant shen ren eh rish ooilley sheel[29]naue ayns Creest Yeesey, as Shick’ragh dooin ooilley ny bannaghtyn ta liorish, as ta shin er yn ayrn ain gialdyn dy chooilleeney cordailyn y chonaant shoh.","A. God Almighty therein applies to every particular person that Covenant He made with all mankind in Christ Jesus, and assures to us all the blessings of it; and we, on our parts, promise to perform the conditions of this Covenant.",
Q. Cre’n prowal t’ain dy lhisagh cloan aeg ve goit stiagh ayns conaant rish Jee liorish Bashtey?,[44] Q. What proof have we that Infants ought to be admitted into Covenant with God by baptism?,
"A. Er-yn-oyr dy vel ad ayrn vooar jeh dy chooilley ashoon, daue ta bashtey er ny haarey; as t’ad er ve dy kinjagh bashtit ayns dy chooilley eaish jeh’n Aglish Chreestee.","A. Because they make a considerable part of all nations, to whom baptism is enjoined; and they have been constantly baptized in all ages of the Christian Church.",
Q. Cre ta cordailyn y chonaant bashtey?,Q. What are the terms of the baptismal Covenant?,
"A. Er ayrn Yee, ta shin jeant oltyn dy Chreest, cloan dy Yee, as eiraghyn dy reeriaght Niau; er yn ayrn ainyn, ta shin gialdyn dy hreigeil y drogh Spyrryd, y seihll as yn eill, myr shen gyn dy eiyrt daue, ny ve er ny leeideil lioroo. Dy chredjal ooilley banglaneyn y Chredjue Creeste, as dy reayl Aigney casherick Yee as e Annaghyn, as dy immeeaght ayndoo ooilley laghyn nyn mea.","A. On God’s part, we are made members of Christ, children of God, and inheritors of the Kingdom of Heaven: on our part, we promise to renounce the Devil, the world, and the flesh, so as neither to follow nor be led by them. To believe all the articles of the Christian faith, and to keep God’s holy will and commandments, and to walk in the same all the days of our life.",
Q. Abbyr dy brishagh shin ny brearaghyn as ny gialdinyn ren shin ec nyn Mashtey?,Q. Suppose we break the vows and promises we made at our baptism?,
"A. Ta shin brishey yn conaant ain, as er y fa shen coal ny bannaghtyn va shickeyrit dooin liorish.","A. We break our Covenant, and of course forfeit the blessings assured to us therein.",
"Q. Agh vel aght erbee dy yannoo ass-y-noa yn conaant shen va jeant ec nyn mashtey, lurg dooin ve un cheayrt er vrishey eh?","Q. What, is there no method of renewing that Covenant we made at our baptism, after we have once broken it?",
"A. Ta, ta Creest er phionteil [sic: phointeil] oardaghey chelleeragh nyn gour dy yannoo ass-y-noa yn conaant ain rish Jee, lurg dooin v’er vrishey eh.","[45] A. Yes, Christ has appointed an ordinance on purpose for us to renew the Covenant with God after we have broken it.",
Q. Cre’n Oardaghey shen?,Q. What Ordinance is that?,
A. Sacrament Shibber y Chiarn.,A. The Sacrament of the Lord’s Supper.,
Q. Cre hon ta’n Sacrament shoh ymmyrchagh?,Q. Of what use and necessity is this Sacrament?,
"A. Myr ta shin er lane aghtyn, er vrishey nyn mreeayraghyn bashtey, ta Jee trooid e Vyghin surranse shin dy yannoo ass y noa nyn gonaant rish ayns y Sacrament shoh; as my ta shin ynrick, t’er cur dooin ny bannaghttyn [sic: bannaghtyn] cheddin reesht, ghiall eh dooin ayns y Sacrament dy Vashtey.","A. As we have many ways grievously broken our baptismal vows, God in his mercy suffers us to renew our Covenant with Him in this Sacrament; and if we be sincere, He gives us the same blessings again as he promised to us in the Sacrament of Baptism.",
"Q. Cre’n shickyrys t’ain, dy vow mayd myghin as pardoon liorish jannoo ass-y-noa yn conaant ain ec board y Chiarn?","Q. What assurance have we that by renewing our Covenant at the Lord’s Table, we shall obtain mercy and pardon?",
"A. Ta Creest hene Shickyragh dooin, dy nee shoh yn uill echey ayns y chonaant noa, ta er ny gheayrtey son ymmodee son leih peccaghyn.","A. Christ himself assures us, that this is his “blood in the New Covenant, which is shed for many for the remission of sins.”",
"Q. Cre ny reddyn ta ymmyrchagh er yn ayrn ain dy yannoo<,> shin cooie dy gheddyn pardoon son nyn beccaghyn ayns yn Sacrament casherick shoh? ","Q. What qualifications are necessary on our part, in order to obtain the pardon of our sins in this holy Sacrament?",
"[30] A. Credjue firrinagh ayns toilchinys surranse Chreest, arrys son peccaghyn t’er n’gholl shaghey, as kiarail ynrick dy lhiasaghey Bea.","[46] A. An hearty faith in the merits of Christ’s sufferings, repentance for sins that are past, and sincere resolutions of amendment of life.",
,,
,,
3. CHAB.,SECT. III.,
Mychione laghyn feailley as troshtee.,Of the Festivals and Fasts.,
Q. CRE t’ou toiggal liorish laghyn feailley?,Q. What do you mean by Feasts or Festivals?,
A. Laghyn soït er lheh dy reayll cooinnaghtyn er paart jeh Ard-vyghinyn Yee er nyn Soilshagh da e Aglish.,"A. Days set apart for the remembrance of some special mercies of God, vouchsafed to his Church.",
Q. Cre t’ou toiggal liorish laghyn troshtee?,Q. What do you mean by Fasts?,
"A. Laghyn soït er lheh dy ghoaill kerraghey er nyn Girp, as dy injillaghey shin hene roish Jee son nyn beccaghyn, dy vod shin arrys y ghoaill as lhiasaghey nyn Mea.","A. Days set apart for the afflicting our bodies, and humbling ourselves before God for our sins, in order to repentance, and amendment of life.",
,,
,,
,[47],
ADVENT.,Advent.,
Q. CRE ta Advent?,Q. What is Advent?,
A. Yn traa ta chelleeragh roish yn nollick veih’n doonaght sniessey da Laa-lhan-Dreays [sic: Laa-l-Andreays].,"A. That time which immediately goes before Christmas, from the nearest Sunday to St. Andrew.",
"Q. Cre t’ou toiggal liorish yn fockle, Advent?",Q. What is the meaning of the word Advent?,
A. Te soilshagh cheet.,A. It signifies coming.,
